package,old,new,delta
rfm,0.3.0,0.3.0.9000,*
askpass,NA,1.2.1,*
base64enc,0.1-6,0.1-6,
bslib,0.10.0,0.10.0,
cachem,1.1.0,1.1.0,
classInt,NA,0.4-11,*
cli,3.6.6,3.6.6,
commonmark,2.0.0,2.0.0,
cpp11,0.5.4,0.5.4,
crayon,NA,1.5.3,*
crosstalk,NA,1.2.2,*
curl,7.0.0,7.0.0,
data.table,NA,1.18.2.1,*
DBI,NA,1.3.0,*
digest,0.6.39,0.6.39,
dplyr,1.2.1,1.2.1,
e1071,NA,1.7-17,*
evaluate,NA,1.0.5,*
farver,2.1.2,2.1.2,
fastmap,1.2.0,1.2.0,
fontawesome,0.5.3,0.5.3,
fs,2.0.1,2.0.1,
generics,0.1.4,0.1.4,
gganimate,NA,1.0.11,*
ggfittext,0.10.3,0.10.3,
ggplot2,4.0.2,4.0.2,
glue,1.8.1,1.8.0,*
gridtext,0.1.6,0.1.6,
gtable,0.3.6,0.3.6,
highr,NA,0.12,*
hms,NA,1.1.4,*
htmltools,0.5.9,0.5.9,
htmlwidgets,NA,1.6.4,*
httpuv,1.6.17,1.6.17,
httr,NA,1.4.8,*
isoband,0.3.0,0.3.0,
jpeg,0.1-11,0.1-11,
jquerylib,0.1.4,0.1.4,
jsonlite,2.0.0,2.0.0,
knitr,NA,1.51,*
labeling,0.4.3,0.4.3,
later,1.4.8,1.4.8,
lazyeval,NA,0.2.3,*
lifecycle,1.0.5,1.0.5,
litedown,0.9,0.9,
lpSolve,NA,5.6.23,*
magrittr,2.0.5,2.0.5,
markdown,2.0,2.0,
memoise,2.0.1,2.0.1,
mime,0.13,0.13,
openssl,NA,2.4.0,*
otel,0.2.0,0.2.0,
pillar,1.11.1,1.11.1,
pkgconfig,2.0.3,2.0.3,
plotly,NA,4.12.0,*
png,0.1-9,0.1-9,
prettyunits,NA,1.2.0,*
progress,NA,1.2.3,*
promises,1.5.0,1.5.0,
proxy,NA,0.4-29,*
purrr,NA,1.2.2,*
R6,2.6.1,2.6.1,
rappdirs,0.3.4,0.3.4,
RColorBrewer,1.1-3,1.1-3,
Rcpp,1.1.1-1,1.1.1,*
rlang,1.2.0,1.2.0,
rmarkdown,NA,2.31,*
s2,NA,1.1.9,*
S7,0.2.1-1,0.2.1,*
sass,0.4.10,0.4.10,
scales,1.4.0,1.4.0,
sf,NA,1.1-0,*
shades,1.4.0,1.4.0,
shiny,1.13.0,1.13.0,
sourcetools,0.1.7-2,0.1.7-2,
stringi,1.8.7,1.8.7,
stringr,1.6.0,1.6.0,
svglite,2.2.2,2.2.2,
sys,NA,3.4.3,*
systemfonts,1.3.2,1.3.2,
textshaping,1.0.5,1.0.5,
tibble,3.3.1,3.3.1,
tidyr,NA,1.3.2,*
tidyselect,1.2.1,1.2.1,
tinytex,NA,0.59,*
transformr,NA,0.1.5,*
treemapify,2.6.0,2.6.0,
tweenr,NA,2.0.3,*
units,NA,1.0-1,*
utf8,1.2.6,1.2.6,
vctrs,0.7.3,0.7.3,
viridisLite,0.4.3,0.4.3,
withr,3.0.2,3.0.2,
wk,NA,0.9.5,*
xfun,0.57,0.57,
xml2,1.5.2,1.5.2,
xplorerr,0.2.0,0.2.0,
xtable,1.8-8,1.8-8,
yaml,NA,2.3.12,*
